description,category,label
crime scene showed cigarette butt near the entrance,0,Trace Evidence
investigators found armed suspect,2,Weaponry
officers noticed object out of place,0,Trace Evidence
detective uncovered calendar page torn off,0,Trace Evidence
door was open,0,Trace Evidence
detective uncovered secret compartment found with stolen documents,3,Digital Evidence
evidence suggests cigarette butt near the entrance,0,Trace Evidence
victim had been drugged,1,Biological Evidence
lab results revealed door was left open,0,Trace Evidence
lab results revealed illegal firearm found in suspects car,2,Weaponry
forensics confirmed dna sample collected,1,Biological Evidence
lab results revealed muddy footprints near the window,0,Trace Evidence
evidence suggests victim life insurance recently increased,3,Digital Evidence
investigators found emails were deleted,3,Digital Evidence
evidence suggests explosive device found,2,Weaponry
detective uncovered rifle discovered,2,Weaponry
crime scene showed surveillance footage deleted remotely,3,Digital Evidence
officers noticed toxicology confirms deliberate poisoning,1,Biological Evidence
officers noticed poison was used,1,Biological Evidence
officers noticed window was broken,0,Trace Evidence
evidence suggests hacked into the system,3,Digital Evidence
evidence of money fraud on the computer,3,Digital Evidence
detective uncovered there is blood on the floor,1,Biological Evidence
investigators found blood on the wall,1,Biological Evidence
chemical evidence,1,Biological Evidence
money was stolen,3,Digital Evidence
detective uncovered deleted text messages recovered from victims phone,3,Digital Evidence
he stole money,3,Digital Evidence
lab results revealed there is blood on the floor,1,Biological Evidence
evidence suggests door was left open,0,Trace Evidence
investigators found toxin detected,1,Biological Evidence
crime scene showed he stole money,3,Digital Evidence
she had a knife,2,Weaponry
detective uncovered broken coffee mug on the floor,0,Trace Evidence
lab results revealed wet umbrella near the coat rack,0,Trace Evidence
lab results revealed secret compartment found with stolen documents,3,Digital Evidence
he has a gun,2,Weaponry
detective uncovered weapon found nearby,2,Weaponry
officers noticed suspect had a gun,2,Weaponry
evidence suggests he has a gun,2,Weaponry
firearm recovered,2,Weaponry
officers noticed blood on the wall,1,Biological Evidence
gunshot wound,2,Weaponry
detective uncovered deleted text messages recovered from victims phone,3,Digital Evidence
something is missing,0,Trace Evidence
suspects dna found under victims fingernails,1,Biological Evidence
lab results revealed clues found near the entrance,0,Trace Evidence
detective uncovered debris in the hallway,0,Trace Evidence
lab results revealed hacked into the system,3,Digital Evidence
evidence suggests illegal firearm found in suspects car,2,Weaponry
forensics confirmed they found a gun,2,Weaponry
detective uncovered dna match confirmed,1,Biological Evidence
lab results revealed explosive device found,2,Weaponry
evidence suggests encrypted messages found on suspects phone,3,Digital Evidence
officers noticed victim strangled with a rope,2,Weaponry
lab results revealed victim had been drugged,1,Biological Evidence
crime scene showed footprints at the scene,0,Trace Evidence
evidence suggests suspect lied about alibi on camera,3,Digital Evidence
evidence suggests suspect lied about alibi on camera,3,Digital Evidence
victim shows signs of blunt force trauma,2,Weaponry
fraud was committed,3,Digital Evidence
footprints found,0,Trace Evidence
window broken,0,Trace Evidence
crime scene showed he is armed with a gun,2,Weaponry
evidence of money fraud on the computer,3,Digital Evidence
lab results revealed faint smell of perfume in the hallway,0,Trace Evidence
forensics confirmed explosive residue on suspects jacket,2,Weaponry
lab results revealed weapon found nearby,2,Weaponry
forensics confirmed object out of place,0,Trace Evidence
crime scene showed heavy blunt object with blood found,2,Weaponry
there is blood on the floor,1,Biological Evidence
officers noticed they found a gun,2,Weaponry
lab results revealed evidence of a forced entry,0,Trace Evidence
evidence suggests stabbed with a knife,2,Weaponry
crime scene showed encrypted messages found on suspects phone,3,Digital Evidence
investigators found victim strangled with a rope,2,Weaponry
financial fraud linked to suspects account,3,Digital Evidence
traces of chloroform on the rag,1,Biological Evidence
dna evidence found,1,Biological Evidence
investigators found cyanide vial discovered in the bin,1,Biological Evidence
bank fraud,3,Digital Evidence
crime scene showed phone records found,3,Digital Evidence
evidence suggests unlocked back door,0,Trace Evidence
forensics confirmed suspects fingerprints on the murder weapon,2,Weaponry
investigators found dna sample collected,1,Biological Evidence
window broken,0,Trace Evidence
forensics confirmed massive credit card fraud detected,3,Digital Evidence
lab results revealed there is blood on the floor,1,Biological Evidence
investigators found gunshot wound,2,Weaponry
calendar page torn off,0,Trace Evidence
crime scene showed cyanide vial discovered in the bin,1,Biological Evidence
money fraud,3,Digital Evidence
officers noticed encrypted messages found on suspects phone,3,Digital Evidence
missing pen from the desk,0,Trace Evidence
investigators found unknown biological fluid on the bedsheets,1,Biological Evidence
large amounts of stolen money,3,Digital Evidence
forensics confirmed data was stolen,3,Digital Evidence
money was stolen,3,Digital Evidence
officers noticed a loaded gun was found,2,Weaponry
investigators found surveillance footage deleted remotely,3,Digital Evidence
detective uncovered suspect carrying a weapon,2,Weaponry
overturned chair in the kitchen,0,Trace Evidence
evidence suggests pistol found at scene,2,Weaponry
lab results revealed victim poisoned with rare toxin,1,Biological Evidence
investigators found surveillance footage deleted remotely,3,Digital Evidence
officers noticed clues found near the entrance,0,Trace Evidence
officers noticed trail of footsteps,0,Trace Evidence
evidence suggests trail of footsteps,0,Trace Evidence
crime scene showed he has a gun,2,Weaponry
money was stolen,3,Digital Evidence
lab results revealed blood was found at the scene,1,Biological Evidence
detective uncovered victim poisoned with rare toxin,1,Biological Evidence
fraud detected,3,Digital Evidence
evidence suggests open window in the hallway,0,Trace Evidence
detective uncovered encrypted messages found on suspects phone,3,Digital Evidence
missing pen from the desk,0,Trace Evidence
evidence suggests fraud was committed,3,Digital Evidence
officers noticed gun was discovered,2,Weaponry
officers noticed unknown biological fluid on the bedsheets,1,Biological Evidence
crime scene showed digital evidence recovered,3,Digital Evidence
investigators found evidence of money fraud on the computer,3,Digital Evidence
investigators found debris in the hallway,0,Trace Evidence
detective uncovered knife was found at the scene,2,Weaponry
bank fraud,3,Digital Evidence
arsenic found in the victims tea,1,Biological Evidence
evidence suggests blood on the wall,1,Biological Evidence
crime scene showed torn piece of fabric on the fence,0,Trace Evidence
officers noticed he has a knife,2,Weaponry
lab results revealed marks on the floor,0,Trace Evidence
evidence suggests window was broken,0,Trace Evidence
officers noticed forged signature on the victims will,3,Digital Evidence
forensics confirmed missing pen from the desk,0,Trace Evidence
detective uncovered faint smell of perfume in the hallway,0,Trace Evidence
lab results revealed hacked into the system,3,Digital Evidence
detective uncovered suspect had a gun,2,Weaponry
crime scene showed armed robbery occurred,2,Weaponry
forensics confirmed hair sample matches suspect dna profile,1,Biological Evidence
investigators found strangled victim found in the library,2,Weaponry
firearm recovered,2,Weaponry
muddy footprints near the window,0,Trace Evidence
forensics confirmed heavy blunt object with blood found,2,Weaponry
investigators found blood on the wall,1,Biological Evidence
investigators found traces of chloroform on the rag,1,Biological Evidence
officers noticed faint smell of perfume in the hallway,0,Trace Evidence
victim poisoned,1,Biological Evidence
investigators found scratches on the door lock,0,Trace Evidence
arsenic found in the victims tea,1,Biological Evidence
detective uncovered debris in the hallway,0,Trace Evidence
investigators found calendar page torn off,0,Trace Evidence
bank fraud,3,Digital Evidence
investigators found poison detected in the wine glass,1,Biological Evidence
detective uncovered torn piece of fabric on the fence,0,Trace Evidence
forced entry,0,Trace Evidence
detective uncovered he has a knife,2,Weaponry
detective uncovered surveillance footage deleted remotely,3,Digital Evidence
evidence suggests scratches on the door lock,0,Trace Evidence
lab results revealed phone records found,3,Digital Evidence
crime scene showed camera footage exists,3,Digital Evidence
officers noticed digital evidence recovered,3,Digital Evidence
lab results revealed data was stolen,3,Digital Evidence
suspects fingerprints on the murder weapon,2,Weaponry
officers noticed trail of footsteps,0,Trace Evidence
crime scene showed financial fraud linked to suspects account,3,Digital Evidence
evidence suggests victim life insurance recently increased,3,Digital Evidence
investigators found blood was found at the scene,1,Biological Evidence
investigators found armed suspect,2,Weaponry
detective uncovered he has a knife,2,Weaponry
detective uncovered victim was blackmailing the suspect via email,3,Digital Evidence
officers noticed scratches on the door lock,0,Trace Evidence
saliva found on the discarded cigarette,1,Biological Evidence
crime scene showed suspects fingerprints on the murder weapon,2,Weaponry
detective uncovered armed robbery occurred,2,Weaponry
forensics confirmed suspect had a gun,2,Weaponry
chemical substance found,1,Biological Evidence
lab results revealed calendar page torn off,0,Trace Evidence
officers noticed encrypted messages found on suspects phone,3,Digital Evidence
detective uncovered fraud was committed,3,Digital Evidence
blood on floor,1,Biological Evidence
lab results revealed missing pen from the desk,0,Trace Evidence
surveillance footage deleted remotely,3,Digital Evidence
lab results revealed forged signature on the victims will,3,Digital Evidence
she had a knife,2,Weaponry
crime scene showed assault with a deadly weapon,2,Weaponry
evidence suggests calendar page torn off,0,Trace Evidence
detective uncovered toxicology confirms deliberate poisoning,1,Biological Evidence
investigators found footprints at the scene,0,Trace Evidence
investigators found saliva found on the discarded cigarette,1,Biological Evidence
detective uncovered emails were deleted,3,Digital Evidence
detective uncovered toxicology confirms deliberate poisoning,1,Biological Evidence
lab results revealed broken coffee mug on the floor,0,Trace Evidence
detective uncovered gunshot residue on the suspect hands,2,Weaponry
lab results revealed wet umbrella near the coat rack,0,Trace Evidence
evidence suggests debris in the hallway,0,Trace Evidence
crime scene showed deleted text messages recovered from victims phone,3,Digital Evidence
forensics confirmed bloody knife found in the dumpster,2,Weaponry
forensics confirmed footprints at the scene,0,Trace Evidence
detective uncovered faint smell of perfume in the hallway,0,Trace Evidence
lab results revealed armed suspect,2,Weaponry
lab results revealed hacked into the system,3,Digital Evidence
investigators found data was stolen,3,Digital Evidence
signs of struggle,0,Trace Evidence
officers noticed illegal firearm found in suspects car,2,Weaponry
crime scene showed cyanide vial discovered in the bin,1,Biological Evidence
evidence suggests armed suspect,2,Weaponry
forensics confirmed suspect carrying a weapon,2,Weaponry
forensics confirmed suspect lied about alibi on camera,3,Digital Evidence
crime scene showed toxicology confirms deliberate poisoning,1,Biological Evidence
detective uncovered biological material recovered,1,Biological Evidence
crime scene showed marks on the floor,0,Trace Evidence
forensics confirmed signs of a struggle,0,Trace Evidence
lab results revealed dust disturbed on the shelf,0,Trace Evidence
officers noticed firearm recovered,2,Weaponry
illegal firearm found in suspects car,2,Weaponry
detective uncovered bomb was planted,2,Weaponry
crime scene showed faint smell of perfume in the hallway,0,Trace Evidence
investigators found traces of chloroform on the rag,1,Biological Evidence
evidence suggests broken coffee mug on the floor,0,Trace Evidence
large amounts of stolen money,3,Digital Evidence
evidence suggests signs of a struggle,0,Trace Evidence
evidence suggests toxicology confirms deliberate poisoning,1,Biological Evidence
forensics confirmed door was left open,0,Trace Evidence
crime scene showed camera footage exists,3,Digital Evidence
forensics confirmed traces of poison,1,Biological Evidence
officers noticed hair sample matches suspect dna profile,1,Biological Evidence
officers noticed armed suspect,2,Weaponry
investigators found he is armed with a gun,2,Weaponry
debris in the hallway,0,Trace Evidence
chair knocked over,0,Trace Evidence
evidence suggests victim was poisoned,1,Biological Evidence
window broken,0,Trace Evidence
officers noticed displaced rug near the fireplace,0,Trace Evidence
evidence suggests evidence of money fraud on the computer,3,Digital Evidence
lab results revealed camera footage exists,3,Digital Evidence
lab results revealed surveillance footage deleted remotely,3,Digital Evidence
detective uncovered cigarette butt near the entrance,0,Trace Evidence
bank fraud,3,Digital Evidence
crime scene showed fraud was committed,3,Digital Evidence
lab results revealed object out of place,0,Trace Evidence
investigators found armed suspect,2,Weaponry
forensics confirmed wet umbrella near the coat rack,0,Trace Evidence
forensics confirmed encrypted messages found on suspects phone,3,Digital Evidence
crime scene showed overturned chair in the kitchen,0,Trace Evidence
crime scene showed trail of footsteps,0,Trace Evidence
officers noticed shotgun at the scene,2,Weaponry
crime scene showed victim strangled with a rope,2,Weaponry
officers noticed displaced rug near the fireplace,0,Trace Evidence
money fraud,3,Digital Evidence
investigators found spent shell casings found at the scene,2,Weaponry
forensics confirmed secret compartment found with stolen documents,3,Digital Evidence
victim was blackmailing the suspect via email,3,Digital Evidence
evidence suggests calendar page torn off,0,Trace Evidence
firearm recovered,2,Weaponry
investigators found hidden camera recorded the crime,3,Digital Evidence
forensics confirmed gunshot residue on the suspect hands,2,Weaponry
lab results revealed door was left open,0,Trace Evidence
credit card fraud,3,Digital Evidence
forensics confirmed marks on the floor,0,Trace Evidence
lab results revealed spent shell casings found at the scene,2,Weaponry
marks on the floor,0,Trace Evidence
officers noticed stabbed with a knife,2,Weaponry
crime scene showed toxicology confirms deliberate poisoning,1,Biological Evidence
footprints at the scene,0,Trace Evidence
officers noticed traces of poison,1,Biological Evidence
chair knocked over,0,Trace Evidence
evidence suggests hacked into the system,3,Digital Evidence
detective uncovered scratches on the door lock,0,Trace Evidence
something is missing,0,Trace Evidence
detective uncovered saliva found on the discarded cigarette,1,Biological Evidence
knife at scene,2,Weaponry
crime scene showed armed suspect,2,Weaponry
investigators found unknown biological fluid on the bedsheets,1,Biological Evidence
officers noticed faint smell of perfume in the hallway,0,Trace Evidence
investigators found financial records tampered,3,Digital Evidence
detective uncovered poison was used,1,Biological Evidence
lab results revealed weapon found nearby,2,Weaponry
footprints found,0,Trace Evidence
lab results revealed blood on the wall,1,Biological Evidence
crime scene showed cyanide vial discovered in the bin,1,Biological Evidence
officers noticed bomb was planted,2,Weaponry
investigators found displaced rug near the fireplace,0,Trace Evidence
investigators found financial records tampered,3,Digital Evidence
crime scene showed rifle discovered,2,Weaponry
investigators found unauthorized bank transfer at 3 AM,3,Digital Evidence
evidence suggests hair sample matches suspect dna profile,1,Biological Evidence
officers noticed heavy blunt object with blood found,2,Weaponry
investigators found he stole money,3,Digital Evidence
investigators found illegal firearm found in suspects car,2,Weaponry
crime scene showed traces of poison,1,Biological Evidence
traces of chloroform on the rag,1,Biological Evidence
weapon at scene,2,Weaponry
detective uncovered trail of footsteps,0,Trace Evidence
blood on floor,1,Biological Evidence
blood was found at the scene,1,Biological Evidence
detective uncovered poison was used,1,Biological Evidence
detective uncovered financial records tampered,3,Digital Evidence
evidence suggests muddy footprints near the window,0,Trace Evidence
officers noticed bloody knife found in the dumpster,2,Weaponry
lab results revealed suspect passport shows false identity,3,Digital Evidence
investigators found deleted text messages recovered from victims phone,3,Digital Evidence
lab results revealed murder weapon hidden under floorboards,2,Weaponry
emails were deleted,3,Digital Evidence
officers noticed trail of footsteps,0,Trace Evidence
money was stolen,3,Digital Evidence
crime scene showed victim had been drugged,1,Biological Evidence
investigators found missing pen from the desk,0,Trace Evidence
displaced rug near the fireplace,0,Trace Evidence
crime scene showed open window in the hallway,0,Trace Evidence
evidence suggests wet umbrella near the coat rack,0,Trace Evidence
forensics confirmed arsenic found in the victims tea,1,Biological Evidence
detective uncovered cyanide vial discovered in the bin,1,Biological Evidence
crime scene showed dna match confirmed,1,Biological Evidence
crime scene showed faint smell of perfume in the hallway,0,Trace Evidence
crime scene showed displaced rug near the fireplace,0,Trace Evidence
fraud detected,3,Digital Evidence
investigators found victim was shot,2,Weaponry
he was armed,2,Weaponry
investigators found armed robbery occurred,2,Weaponry
he stole money,3,Digital Evidence
forensics confirmed spent shell casings found at the scene,2,Weaponry
fraud detected,3,Digital Evidence
lab results revealed blood was found at the scene,1,Biological Evidence
investigators found blood was found at the scene,1,Biological Evidence
he has a gun,2,Weaponry
she had a knife,2,Weaponry
evidence suggests bloody knife found in the dumpster,2,Weaponry
lab results revealed gunshot residue on the suspect hands,2,Weaponry
forensics confirmed victim poisoned with rare toxin,1,Biological Evidence
gun was discovered,2,Weaponry
investigators found suspect carrying a weapon,2,Weaponry
crime scene showed stabbed with a knife,2,Weaponry
investigators found suspects fingerprints on the murder weapon,2,Weaponry
poison was used,1,Biological Evidence
evidence suggests dna evidence found,1,Biological Evidence
evidence suggests open window in the hallway,0,Trace Evidence
evidence suggests dna evidence found,1,Biological Evidence
fraud detected,3,Digital Evidence
investigators found he stole money,3,Digital Evidence
detective uncovered he has a knife,2,Weaponry
crime scene showed spent shell casings found at the scene,2,Weaponry
financial records tampered,3,Digital Evidence
lab results revealed trail of footsteps,0,Trace Evidence
evidence suggests something is missing,0,Trace Evidence
faint smell of perfume in the hallway,0,Trace Evidence
investigators found deleted text messages recovered from victims phone,3,Digital Evidence
evidence suggests shotgun at the scene,2,Weaponry
evidence suggests biological material recovered,1,Biological Evidence
officers noticed evidence of a forced entry,0,Trace Evidence
forced entry,0,Trace Evidence
detective uncovered blood stains found on the kitchen floor,1,Biological Evidence
crime scene showed window was broken,0,Trace Evidence
investigators found suspects dna found under victims fingernails,1,Biological Evidence
forensics confirmed dna match confirmed,1,Biological Evidence
crime scene showed victim life insurance recently increased,3,Digital Evidence
lab results revealed overturned chair in the kitchen,0,Trace Evidence
detective uncovered poison detected in the wine glass,1,Biological Evidence
officers noticed hair sample matches suspect dna profile,1,Biological Evidence
officers noticed footprints at the scene,0,Trace Evidence
forced entry,0,Trace Evidence
lab results revealed dna match confirmed,1,Biological Evidence
fraud detected,3,Digital Evidence
officers noticed trail of footsteps,0,Trace Evidence
victim strangled with a rope,2,Weaponry
lab results revealed blood everywhere,1,Biological Evidence
officers noticed bank account was hacked,3,Digital Evidence
object out of place,0,Trace Evidence
investigators found he was holding a weapon,2,Weaponry
forensics confirmed he has a gun,2,Weaponry
forensics confirmed embezzled funds and money fraud,3,Digital Evidence
gun found,2,Weaponry
officers noticed they committed fraud,3,Digital Evidence
investigators found hacked into the system,3,Digital Evidence
investigators found victim was shot,2,Weaponry
crime scene showed bloody knife found in the dumpster,2,Weaponry
lab results revealed rifle discovered,2,Weaponry
evidence suggests suspect carrying a weapon,2,Weaponry
lab results revealed something is missing,0,Trace Evidence
forensics confirmed gunshot wound,2,Weaponry
forensics confirmed pistol found at scene,2,Weaponry
gunshot residue on the suspect hands,2,Weaponry
officers noticed biological material recovered,1,Biological Evidence
investigators found faint smell of perfume in the hallway,0,Trace Evidence
officers noticed chemical substance found,1,Biological Evidence
suspects dna found under victims fingernails,1,Biological Evidence
scratches on the door lock,0,Trace Evidence
officers noticed suspect lied about alibi on camera,3,Digital Evidence
they committed fraud,3,Digital Evidence
chair knocked over,0,Trace Evidence
crime scene showed victim poisoned with rare toxin,1,Biological Evidence
evidence suggests clues found near the entrance,0,Trace Evidence
evidence suggests evidence of money fraud on the computer,3,Digital Evidence
detective uncovered blood stains found on the kitchen floor,1,Biological Evidence
lab results revealed emails were deleted,3,Digital Evidence
evidence suggests displaced rug near the fireplace,0,Trace Evidence
clues found near the entrance,0,Trace Evidence
forensics confirmed armed suspect,2,Weaponry
crime scene showed unknown biological fluid on the bedsheets,1,Biological Evidence
lab results revealed gunshot wound,2,Weaponry
toxicology confirms deliberate poisoning,1,Biological Evidence
officers noticed phone records found,3,Digital Evidence
investigators found broken coffee mug on the floor,0,Trace Evidence
officers noticed poison was used,1,Biological Evidence
forensics confirmed data was stolen,3,Digital Evidence
lab results revealed he is armed with a gun,2,Weaponry
forensics confirmed traces of chloroform on the rag,1,Biological Evidence
victim poisoned,1,Biological Evidence
victim was poisoned,1,Biological Evidence
footprints found,0,Trace Evidence
officers noticed dna sample collected,1,Biological Evidence
crime scene showed spent shell casings found at the scene,2,Weaponry
officers noticed unknown biological fluid on the bedsheets,1,Biological Evidence
lab results revealed footprints at the scene,0,Trace Evidence
overturned chair in the kitchen,0,Trace Evidence
investigators found heavy blunt object with blood found,2,Weaponry
lab results revealed rifle discovered,2,Weaponry
officers noticed suspect lied about alibi on camera,3,Digital Evidence
investigators found door was left open,0,Trace Evidence
officers noticed spent shell casings found at the scene,2,Weaponry
investigators found traces of poison,1,Biological Evidence
chair knocked over,0,Trace Evidence
investigators found blood everywhere,1,Biological Evidence
detective uncovered suspect lied about alibi on camera,3,Digital Evidence
bomb was planted,2,Weaponry
officers noticed victim was poisoned,1,Biological Evidence
lab results revealed surveillance footage deleted remotely,3,Digital Evidence
detective uncovered secret compartment found with stolen documents,3,Digital Evidence
officers noticed misplaced keys on the kitchen counter,0,Trace Evidence
crime scene showed footprints at the scene,0,Trace Evidence
evidence suggests victim was poisoned,1,Biological Evidence
forensics confirmed he stole money,3,Digital Evidence
lab results revealed open window in the hallway,0,Trace Evidence
footprints found,0,Trace Evidence
investigators found open window in the hallway,0,Trace Evidence
officers noticed toxicology confirms deliberate poisoning,1,Biological Evidence
detective uncovered torn piece of fabric on the fence,0,Trace Evidence
victim poisoned with rare toxin,1,Biological Evidence
lab results revealed she pulled out a gun,2,Weaponry
officers noticed blood everywhere,1,Biological Evidence
he was armed,2,Weaponry
detective uncovered something is missing,0,Trace Evidence
officers noticed gun was discovered,2,Weaponry
evidence suggests clues found near the entrance,0,Trace Evidence
officers noticed hair sample matches suspect dna profile,1,Biological Evidence
investigators found missing pen from the desk,0,Trace Evidence
forced entry,0,Trace Evidence
detective uncovered calendar page torn off,0,Trace Evidence
detective uncovered dust disturbed on the shelf,0,Trace Evidence
dna found,1,Biological Evidence
detective uncovered poison detected in the wine glass,1,Biological Evidence
weapon at scene,2,Weaponry
lab results revealed chair knocked over,0,Trace Evidence
firearm recovered,2,Weaponry
evidence suggests they found a gun,2,Weaponry
toxin detected,1,Biological Evidence
officers noticed firearm recovered,2,Weaponry
evidence suggests dna sample collected,1,Biological Evidence
window broken,0,Trace Evidence
detective uncovered poison detected in the wine glass,1,Biological Evidence
officers noticed victim life insurance recently increased,3,Digital Evidence
scratches on the door lock,0,Trace Evidence
crime scene showed gunshot residue on the suspect hands,2,Weaponry
crime scene showed suspects dna found under victims fingernails,1,Biological Evidence
detective uncovered suspect lied about alibi on camera,3,Digital Evidence
officers noticed traces of poison,1,Biological Evidence
lab results revealed gunshot residue on the suspect hands,2,Weaponry
detective uncovered trail of footsteps,0,Trace Evidence
investigators found financial records tampered,3,Digital Evidence
detective uncovered suspect had a gun,2,Weaponry
officers noticed poison was used,1,Biological Evidence
evidence suggests marks on the floor,0,Trace Evidence
detective uncovered he is armed with a gun,2,Weaponry
detective uncovered dna evidence found,1,Biological Evidence
detective uncovered evidence of a forced entry,0,Trace Evidence
lab results revealed camera footage exists,3,Digital Evidence
investigators found financial fraud linked to suspects account,3,Digital Evidence
officers noticed debris in the hallway,0,Trace Evidence
investigators found displaced rug near the fireplace,0,Trace Evidence
detective uncovered signs of a struggle,0,Trace Evidence
forensics confirmed assault with a deadly weapon,2,Weaponry
investigators found armed suspect,2,Weaponry
suspect lied about alibi on camera,3,Digital Evidence
officers noticed camera footage exists,3,Digital Evidence
forensics confirmed marks on the floor,0,Trace Evidence
lab results revealed financial fraud linked to suspects account,3,Digital Evidence
evidence suggests emails were deleted,3,Digital Evidence
investigators found suspects dna found under victims fingernails,1,Biological Evidence
unauthorized bank transfer at 3 AM,3,Digital Evidence
crime scene showed hidden camera recorded the crime,3,Digital Evidence
forensics confirmed muddy footprints near the window,0,Trace Evidence
forensics confirmed phone records found,3,Digital Evidence
evidence suggests secret compartment found with stolen documents,3,Digital Evidence
blood on floor,1,Biological Evidence
phone records found,3,Digital Evidence
lab results revealed biological material recovered,1,Biological Evidence
evidence suggests a loaded gun was found,2,Weaponry
forced entry,0,Trace Evidence
lab results revealed hacked into the system,3,Digital Evidence
she had a knife,2,Weaponry
blood found,1,Biological Evidence
missing pen from the desk,0,Trace Evidence
dna found,1,Biological Evidence
officers noticed poison detected in the wine glass,1,Biological Evidence
forensics confirmed dust disturbed on the shelf,0,Trace Evidence
evidence suggests torn piece of fabric on the fence,0,Trace Evidence
crime scene showed spent shell casings found at the scene,2,Weaponry
lab results revealed object out of place,0,Trace Evidence
detective uncovered data was stolen,3,Digital Evidence
strangled victim found in the library,2,Weaponry
evidence suggests chair knocked over,0,Trace Evidence
crime scene showed faint smell of perfume in the hallway,0,Trace Evidence
signs of struggle,0,Trace Evidence
evidence suggests toxin detected,1,Biological Evidence
crime scene showed victim was poisoned,1,Biological Evidence
lab results revealed poison detected in the wine glass,1,Biological Evidence
broken coffee mug on the floor,0,Trace Evidence
detective uncovered encrypted messages found on suspects phone,3,Digital Evidence
lab results revealed marks on the floor,0,Trace Evidence
investigators found hacked into the system,3,Digital Evidence
lab results revealed armed robbery occurred,2,Weaponry
forensics confirmed footprints at the scene,0,Trace Evidence
investigators found weapon found nearby,2,Weaponry
clues found near the entrance,0,Trace Evidence
window broken,0,Trace Evidence
evidence suggests money was stolen,3,Digital Evidence
investigators found unknown biological fluid on the bedsheets,1,Biological Evidence
lab results revealed there is blood on the floor,1,Biological Evidence
officers noticed something is missing,0,Trace Evidence
detective uncovered dust disturbed on the shelf,0,Trace Evidence
money fraud,3,Digital Evidence
evidence suggests body found with stab wounds in the cellar,2,Weaponry
suspects dna found under victims fingernails,1,Biological Evidence
forensics confirmed hacked into the system,3,Digital Evidence
crime scene showed evidence of a forced entry,0,Trace Evidence
forensics confirmed gun was discovered,2,Weaponry
investigators found weapon found nearby,2,Weaponry
investigators found surveillance footage deleted remotely,3,Digital Evidence
forensics confirmed victim poisoned with rare toxin,1,Biological Evidence
officers noticed footprints at the scene,0,Trace Evidence
officers noticed evidence of a forced entry,0,Trace Evidence
officers noticed he attacked with a weapon,2,Weaponry
victim poisoned,1,Biological Evidence
crime scene showed traces of chloroform on the rag,1,Biological Evidence
lab results revealed muddy footprints near the window,0,Trace Evidence
forensics confirmed object out of place,0,Trace Evidence
evidence suggests toxin detected,1,Biological Evidence
bank fraud,3,Digital Evidence
officers noticed blood spatter pattern on the wall,1,Biological Evidence
evidence suggests suspect lied about alibi on camera,3,Digital Evidence
lab results revealed dna evidence found,1,Biological Evidence
officers noticed he attacked with a weapon,2,Weaponry
marks on the floor,0,Trace Evidence
embezzled funds and money fraud,3,Digital Evidence
evidence suggests unknown biological fluid on the bedsheets,1,Biological Evidence
lab results revealed victim had been drugged,1,Biological Evidence
evidence suggests emails were deleted,3,Digital Evidence
officers noticed gun was discovered,2,Weaponry
blood spatter pattern on the wall,1,Biological Evidence
money was stolen,3,Digital Evidence
illegal firearm found in suspects car,2,Weaponry
investigators found bomb was planted,2,Weaponry
lab results revealed she pulled out a gun,2,Weaponry
detective uncovered poison detected in the wine glass,1,Biological Evidence
detective uncovered blood stains found on the kitchen floor,1,Biological Evidence
crime scene showed biological material recovered,1,Biological Evidence
officers noticed dna match confirmed,1,Biological Evidence
officers noticed unlocked back door,0,Trace Evidence
evidence suggests cigarette butt near the entrance,0,Trace Evidence
lab results revealed gunshot residue on the suspect hands,2,Weaponry
evidence suggests data was stolen,3,Digital Evidence
crime scene showed dust disturbed on the shelf,0,Trace Evidence
crime scene showed embezzled funds and money fraud,3,Digital Evidence
investigators found misplaced keys on the kitchen counter,0,Trace Evidence
door was left open,0,Trace Evidence
investigators found online transaction suspicious,3,Digital Evidence
investigators found rifle discovered,2,Weaponry
calendar page torn off,0,Trace Evidence
footprints found,0,Trace Evidence
bank fraud,3,Digital Evidence
lab results revealed gun was discovered,2,Weaponry
officers noticed suspects fingerprints on the murder weapon,2,Weaponry
detective uncovered blood stains found on the kitchen floor,1,Biological Evidence
officers noticed a loaded gun was found,2,Weaponry
officers noticed chair knocked over,0,Trace Evidence
evidence suggests online transaction suspicious,3,Digital Evidence
credit card fraud,3,Digital Evidence
footprints found,0,Trace Evidence
evidence suggests large amounts of stolen money,3,Digital Evidence
evidence suggests bloody knife found in the dumpster,2,Weaponry
credit card fraud,3,Digital Evidence
officers noticed faint smell of perfume in the hallway,0,Trace Evidence
evidence suggests blood was found at the scene,1,Biological Evidence
bank fraud,3,Digital Evidence
crime scene showed blood was found at the scene,1,Biological Evidence
crime scene showed wet umbrella near the coat rack,0,Trace Evidence
forensics confirmed shotgun at the scene,2,Weaponry
lab results revealed something is missing,0,Trace Evidence
crime scene showed gunshot wound,2,Weaponry
forensics confirmed missing pen from the desk,0,Trace Evidence
detective uncovered unknown biological fluid on the bedsheets,1,Biological Evidence
lab results revealed armed suspect,2,Weaponry
evidence suggests financial records tampered,3,Digital Evidence
lab results revealed muddy footprints near the window,0,Trace Evidence
investigators found traces of chloroform on the rag,1,Biological Evidence
investigators found money was stolen,3,Digital Evidence
detective uncovered he stole money,3,Digital Evidence
forensics confirmed armed suspect,2,Weaponry
